#{"t_start": 1680666561.253249, "env_id": "CartPole-v1"}
r,l,t
14.0,14,0.029931
12.0,12,0.03942
43.0,43,0.295074
13.0,13,0.303663
37.0,37,0.407958
11.0,11,0.48981
56.0,56,0.598127
19.0,19,0.682986
76.0,76,0.878027
29.0,29,0.969904
202.0,202,1.521776
113.0,113,1.900514
56.0,56,2.078211
107.0,107,2.353059
100.0,100,2.645052
224.0,224,3.309102
184.0,184,3.990797
67.0,67,4.19601
121.0,121,4.540477
231.0,231,5.165124
254.0,254,5.904177
500.0,500,7.413764
500.0,500,9.40657
500.0,500,10.831251
